effective_date,key_rate,change_pp,fx_proxy_date,matched_official_fx_record,date_definition,announcement_date_verified
2014-03-03,7.0,1.5,2014-03-04,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2014-04-28,7.5,0.5,2014-04-29,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2014-07-28,8.0,0.5,2014-07-29,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2014-11-05,9.5,1.5,2014-11-06,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2014-12-12,10.5,1.0,2014-12-13,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2014-12-16,17.0,6.5,2014-12-17,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2015-02-02,15.0,-2.0,2015-02-03,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2015-03-16,14.0,-1.0,2015-03-17,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2015-05-05,12.5,-1.5,2015-05-06,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2015-06-16,11.5,-1.0,2015-06-17,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2015-08-03,11.0,-0.5,2015-08-04,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2016-06-14,10.5,-0.5,2016-06-15,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2016-09-19,10.0,-0.5,2016-09-20,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2017-03-27,9.75,-0.25,2017-03-28,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2017-05-02,9.25,-0.5,2017-05-03,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
2017-06-19,9.0,-0.25,2017-06-20,True,Дата вступления ставки в силу + 1 календарный день; прокси даты наблюдения официального курса,False
