variable,transform,regression,adf_stat,adf_p,kpss_stat,kpss_p
key_rate,level,c,-2.3557706799186633,0.15461074563716853,0.6756902990743602,0.015755427356876343
key_rate,level,ct,-2.631408552477889,0.2656490300108477,0.2814648345706502,0.01
key_rate,diff,c,-8.201187200132752,7.223432901440926e-13,0.05372807679957792,0.1
key_rate,diff,ct,-8.17585098789258,2.802655599048526e-11,0.057039730333389625,0.1
usdrub,level,c,-2.6461312239855395,0.08383268132122251,1.3541677099130214,0.01
usdrub,level,ct,-3.7791593626257716,0.017645699402715653,0.07632205251959266,0.1
usdrub,diff,c,-8.400385721975034,2.2396674499605807e-13,0.0767608040347373,0.1
usdrub,diff,ct,-8.426128421764158,7.418894068177552e-12,0.0382928261526629,0.1
brent,level,c,-2.2370516907828386,0.19307361770825665,0.30228818164343957,0.1
brent,level,ct,-2.6669822422889093,0.25004590414301364,0.16223880766739915,0.03646766027716737
brent,diff,c,-8.101818248811666,1.2937344573818934e-12,0.2504684099275907,0.1
brent,diff,ct,-8.307311130285767,1.3935319729326262e-11,0.06176178841773536,0.1
