check,variant,n_obs,rate_to_fx_p,fx_to_rate_p,conclusion
альтернативный лаг,k_ar_diff=1,156,1.480342471312012e-09,0.009975361452155647,оба направления значимы (p<0.05)
альтернативный лаг,k_ar_diff=2 (основной),156,2.209644997273662e-20,0.004894226805735848,оба направления значимы (p<0.05)
альтернативный лаг,k_ar_diff=3,156,1.754738255449808e-17,0.043875485125024455,оба направления значимы (p<0.05)
подпериод,до 28.02.2022 (вкл. кризис 2014-15),100,0.06229589881170882,0.040197032666466126,результат смешанный / мало наблюдений
подпериод,после 28.02.2022 (вкл. острую фазу 2022),55,0.7791928325798011,8.08113319545763e-06,результат смешанный / мало наблюдений
подпериод,спокойный период 2015-06..2021-12 (основной),78,0.5437273924880452,0.36924028638094925,"ни одно направление не значимо (не значит, что эффекта нет — см. мощность)"
подпериод,"спокойный период, граница -6мес: 2016-01..2021-12",71,0.3155968797348752,0.5444676680236212,"ни одно направление не значимо (не значит, что эффекта нет — см. мощность)"
подпериод,"спокойный период, граница -6мес: 2015-06..2021-06",72,0.44754258712649175,0.04839386330702345,результат смешанный / мало наблюдений
подпериод,после острой фазы 2022-09..,48,0.7446518739914846,0.3687209606941709,"ни одно направление не значимо (не значит, что эффекта нет — см. мощность)"
нейтрализация кризисных наблюдений (дамми по одному на наблюдение),"2022 (фев-апр), дамми@t",156,0.10333148894158163,6.8933962591203134e-06,значимость исчезает
нейтрализация кризисных наблюдений (дамми по одному на наблюдение),"2022 (фев-апр), дамми@t..t+2",156,0.1682986352647883,0.07124910362821778,значимость исчезает
нейтрализация кризисных наблюдений (дамми по одному на наблюдение),"2014-15 (ноя-фев), дамми@t",156,8.217322321912594e-21,0.020882668757334407,значимость сохраняется
нейтрализация кризисных наблюдений (дамми по одному на наблюдение),"2014-15 (ноя-фев), дамми@t..t+2",156,1.4853705816598047e-22,0.024866274332301548,значимость сохраняется
нейтрализация кризисных наблюдений (дамми по одному на наблюдение),"оба кризиса, дамми@t",156,0.7441120698847892,3.0784994483107223e-10,значимость исчезает
нейтрализация кризисных наблюдений (дамми по одному на наблюдение),"оба кризиса, дамми@t..t+2",156,0.7664592878640122,0.07886745266859939,значимость исчезает
хвост выборки,полный период (основной),156,2.209644997273662e-20,0.004894226805735848,оба направления значимы (p<0.05)
хвост выборки,без хвоста 07-09.2026,153,3.474595409192229e-20,0.004540069487193884,оба направления значимы (p<0.05)
конвенция агрегации по месяцу,"ставка=конец, курс/нефть=среднее (основная)",156,2.209644997273662e-20,0.004894226805735848,"качественный вывод не меняется, величина p — на порядки"
конвенция агрегации по месяцу,все три = среднее за месяц,156,6.737341359440544e-05,0.0346658903433697,"качественный вывод не меняется, величина p — на порядки"
конвенция агрегации по месяцу,все три = конец месяца,156,1.21594417810327e-07,0.002632992026090362,"качественный вывод не меняется, величина p — на порядки"
