origin,origin_date,train_end_date,n_train,h,target_date,target_year,actual_dlog_usdrub,naive,var2_no_rate,var3_with_rate
36,2016-10-31,2016-10-31,36,1,2016-11-30,2016,0.026688472704148758,0.0,-0.011221525642915715,-0.006249722316111379
36,2016-10-31,2016-10-31,36,2,2016-12-31,2016,-0.03516752218648289,0.0,0.015377921585756358,0.017856050502242846
36,2016-10-31,2016-10-31,36,3,2017-01-31,2017,-0.040449350027596864,0.0,0.03086095972565057,0.030437677074534493
37,2016-11-30,2016-11-30,37,1,2016-12-31,2016,-0.03516752218648289,0.0,0.04608486654880728,0.04134660198956784
37,2016-11-30,2016-11-30,37,2,2017-01-31,2017,-0.040449350027596864,0.0,0.04246209031624122,0.04161266627368784
37,2016-11-30,2016-11-30,37,3,2017-02-28,2017,-0.018457024943829836,0.0,0.027569763919134283,0.028343647163448817
38,2016-12-31,2016-12-31,38,1,2017-01-31,2017,-0.040449350027596864,0.0,-0.015822858488928337,-0.007445990059881471
38,2016-12-31,2016-12-31,38,2,2017-02-28,2017,-0.018457024943829836,0.0,0.00549193715125049,0.0038566542972018857
38,2016-12-31,2016-12-31,38,3,2017-03-31,2017,-0.009142021786270327,0.0,0.021718385779408114,0.02187631321703372
39,2017-01-31,2017-01-31,39,1,2017-02-28,2017,-0.018457024943829836,0.0,-0.014584327613027567,-0.022005447561316522
39,2017-01-31,2017-01-31,39,2,2017-03-31,2017,-0.009142021786270327,0.0,0.01513099799476248,0.01135293918651474
39,2017-01-31,2017-01-31,39,3,2017-04-30,2017,-0.027456927518440644,0.0,0.031325571458272874,0.02688376684037848
40,2017-02-28,2017-02-28,40,1,2017-03-31,2017,-0.009142021786270327,0.0,0.012261332728170796,0.014262425242771777
40,2017-02-28,2017-02-28,40,2,2017-04-30,2017,-0.027456927518440644,0.0,0.030260280891234448,0.028451757971664108
40,2017-02-28,2017-02-28,40,3,2017-05-31,2017,0.009074473131438943,0.0,0.03000297162225232,0.0287497781552861
41,2017-03-31,2017-03-31,41,1,2017-04-30,2017,-0.027456927518440644,0.0,0.004192665914794624,0.0037247003772234756
41,2017-03-31,2017-03-31,41,2,2017-05-31,2017,0.009074473131438943,0.0,0.020223082407984087,0.019885186790169734
41,2017-03-31,2017-03-31,41,3,2017-06-30,2017,0.01642463123103166,0.0,0.024671910126205353,0.024796428202293823
42,2017-04-30,2017-04-30,42,1,2017-05-31,2017,0.009074473131438943,0.0,-0.011742916505658906,-0.0030017767688542
42,2017-04-30,2017-04-30,42,2,2017-06-30,2017,0.01642463123103166,0.0,0.01172043614417209,0.013842381281552203
